Ano;Mês;Código da Função;Função;Código de Sub-função;Sub-função;Código de Programa;Programa;Código da Ação;Ação;Código da Fonte;Fonte;Dotação Inicial;Dotação Atualizada;Empenhado;Liquidado;Pago
2026;1;04  ;ADMINISTRAÇÃO                                          ;122 ;ADMINISTRAÇÃO GERAL                                                                                                     ;2160;GESTÃO DAS POLÍTICAS MUNICIPAIS                                                                                         ;2027;COORDENAÇÃO, SUPERVISÃO E EXECUÇÃO DAS AÇÕES MUNICIPAIS DE ADMINISTRAÇÃO                                                                                                                                ;0799;OUTRAS VINCULAÇÕES LEGAIS                              ;600000.0;600000.0;600000.0;24125.08;24125.08
2026;1;08  ;ASSISTÊNCIA SOCIAL                                     ;122 ;ADMINISTRAÇÃO GERAL                                                                                                     ;2161;GESTÃO ADMINISTRATIVA DOS ÓRGÃOS, ENTIDADES E FUNDOS MUNICIPAIS                                                         ;2723;APOIO ADMINISTRATIVO ÀS AÇÕES DA UNIDADE ORÇAMENTÁRIA                                                                                                                                                   ;0500;RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ;1060000.0;11080000.0;159717.9;0.0;0.0
2026;1;28  ;ENCARGOS ESPECIAIS                                     ;846 ;OUTROS ENCARGOS ESPECIAIS                                                                                               ;3101;GESTÃO DOS ENCARGOS GERAIS DO MUNICÍPIO                                                                                 ;9002;CONTRIBUIÇÕES PARA O PIS/PASEP                                                                                                                                                                          ;0500;RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ;30000.0;6031000.0;6011000.0;593342.28;593342.28
2026;1;13  ;CULTURA                                                ;392 ;DIFUSÃO CULTURAL                                                                                                        ;2160;GESTÃO DAS POLÍTICAS MUNICIPAIS                                                                                         ;2212;COORDENAÇÃO, SUPERVISÃO E EXECUÇÃO DAS POLÍTICAS DE CULTURA DO MUNICÍPIO                                                                                                                                ;0500;RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ;22000000.0;22000000.0;1348628.52;1348628.52;1046869.03
2026;1;12  ;EDUCAÇÃO                                               ;306 ;ALIMENTAÇÃO E NUTRIÇÃO                                                                                                  ;1207;SUPORTE E APOIO EFETIVOS PARA UMA EDUCAÇÃO DE QUALIDADE                                                                 ;2127;ALIMENTAÇÃO ESCOLAR                                                                                                                                                                                     ;0551;TRANSF. DE RECURSOS DO FNDE REFERENTES AO PDDE         ;53000.0;53000.0;0.0;0.0;0.0
2026;1;12  ;EDUCAÇÃO                                               ;366 ;EDUCAÇÃO DE JOVENS E ADULTOS                                                                                            ;1206;ORGANIZAÇÃO EFICAZ DO ENSINO E DA APRENDIZAGEM                                                                          ;2183;REALIZAÇÃO DE POLÍTICAS DE INCENTIVO À FORMAÇÃO DE JOVENS PARA A CIDADANIA E O TRABALHO                                                                                                                 ;0569;OUTRAS TRANSFERÊNCIAS DE RECURSOS DO FNDE              ;4810000.0;4810000.0;0.0;0.0;0.0
2026;1;23  ;COMÉRCIO E SERVIÇOS                                    ;122 ;ADMINISTRAÇÃO GERAL                                                                                                     ;2161;GESTÃO ADMINISTRATIVA DOS ÓRGÃOS, ENTIDADES E FUNDOS MUNICIPAIS                                                         ;2723;APOIO ADMINISTRATIVO ÀS AÇÕES DA UNIDADE ORÇAMENTÁRIA                                                                                                                                                   ;0501;OUTROS RECURSOS NÃO VINCULADOS                         ;1510000.0;3900000.0;132745.38;0.0;0.0
2026;1;09  ;PREVIDÊNCIA SOCIAL                                     ;272 ;PREVIDÊNCIA DO REGIME ESTATUTÁRIO                                                                                       ;3101;GESTÃO DOS ENCARGOS GERAIS DO MUNICÍPIO                                                                                 ;9007;ENCARGOS COM INATIVOS E PENSIONISTAS DO SETOR EDUCACIONAL - REGIME PRÓPRIO DO MUNICÍPIO                                                                                                                 ;0801;RECURSOS VINC. AO RPPS - FUNDO REP. (PLANO FINANC.)    ;120000000.0;120000000.0;10614.58;10614.58;10614.58
2026;1;04  ;ADMINISTRAÇÃO                                          ;122 ;ADMINISTRAÇÃO GERAL                                                                                                     ;2160;GESTÃO DAS POLÍTICAS MUNICIPAIS                                                                                         ;2055;PLANEJAMENTO DA AÇÃO GOVERNAMENTAL                                                                                                                                                                      ;0500;RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ;11000000.0;11000000.0;2070368.66;171523.64;171523.64
2026;1;10  ;SAÚDE                                                  ;305 ;VIGILÂNCIA EPIDEMIOLÓGICA                                                                                               ;1217;FORTALECIMENTO DAS AÇÕES DE VIGILÂNCIA EM SAÚDE                                                                         ;2612;FORTALECIMENTO DAS AÇÕES DE VIGILÂNCIA AMBIENTAL PARA O CONTROLE DE DOENÇAS E AGRAVOS                                                                                                                   ;0604;TRANSF. DO GOV. FEDERAL - VENCIMENTO DOS AGENTES COMUNI;25230000.0;25230000.0;0.0;0.0;0.0
2026;1;04  ;ADMINISTRAÇÃO                                          ;131 ;COMUNICAÇÃO SOCIAL                                                                                                      ;2160;GESTÃO DAS POLÍTICAS MUNICIPAIS                                                                                         ;2156;COORDENAÇÃO, SUPERVISÃO E EXECUÇÃO DAS POLÍTICAS DE COMUNICAÇÃO                                                                                                                                         ;0500;RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ;73570000.0;72420000.0;2667233.29;1573490.33;1365659.07
2026;1;15  ;URBANISMO                                              ;451 ;INFRA-ESTRUTURA URBANA                                                                                                  ;2160;GESTÃO DAS POLÍTICAS MUNICIPAIS                                                                                         ;2328;COORDENAÇÃO, SUPERVISÃO E EXECUÇÃO DO PROGRAMA PROMORAR                                                                                                                                                 ;0500;RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ;4310000.0;4310000.0;402710.25;402710.25;368637.76
2026;1;15  ;URBANISMO                                              ;451 ;INFRA-ESTRUTURA URBANA                                                                                                  ;1304;MOBILIDADE URBANA E ACESSIBILIDADE                                                                                      ;1563;CONSOLIDAÇÃO E MELHORAMENTO DO SISTEMA VIÁRIO                                                                                                                                                           ;0706;TRANSFERÊNCIA ESPECIAL DA UNIÃO                        ;2600000.0;2600000.0;0.0;0.0;0.0
2026;1;23  ;COMÉRCIO E SERVIÇOS                                    ;694 ;SERVIÇOS FINANCEIROS                                                                                                    ;1321;FORTALECIMENTO DE ATIVIDADES ECONÔMICAS                                                                                 ;2105;APOIO AO EMPREENDEDORISMO                                                                                                                                                                               ;0500;RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ;2500000.0;2500000.0;0.0;0.0;0.0
2026;1;14  ;DIREITOS DA CIDADANIA                                  ;422 ;DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS                                                                               ;2160;GESTÃO DAS POLÍTICAS MUNICIPAIS                                                                                         ;2282;COORDENAÇÃO, SUPERVISÃO E EXECUÇÃO DAS POLÍTICAS DE ORDEM PÚBLICA E SEGURANÇA                                                                                                                           ;0720;TRANSF. DA UNIÃO REF. ÀS PARTICIPAÇÕES NA EXPLORAÇÃO DE;23440000.0;23190000.0;0.0;0.0;0.0
2026;1;04  ;ADMINISTRAÇÃO                                          ;846 ;OUTROS ENCARGOS ESPECIAIS                                                                                               ;3101;GESTÃO DOS ENCARGOS GERAIS DO MUNICÍPIO                                                                                 ;2701;ENCARGOS COM OBRIGAÇÕES TRIBUTÁRIAS E CONTRIBUTIVAS                                                                                                                                                     ;0500;RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ;10000.0;10000.0;8157.53;8157.53;8157.53
2026;1;14  ;DIREITOS DA CIDADANIA                                  ;422 ;DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS                                                                               ;1222;PROMOÇÃO DOS DIREITOS HUMANOS, CIDADANIA E IGUALDADE ÉTNICO-RACIAL                                                      ;2029;IMPLEMENTAÇÃO DAS AÇÕES DE PROMOÇÃO E DEFESA DOS DIREITOS HUMANOS                                                                                                                                       ;0500;RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ;7520000.0;7520000.0;616138.7;552138.7;472140.22
