Ano;Mês;Poder;Código órgão;Órgão setorial;Código da unidade;Unidade gestora;Código da despesa;Categoria da despesa;Código do grupo de despesa;Grupo de despesa;Código da modalidade;Modalidade;Dotação atualizada;Dotação inicial;Empenhado;Liquidado;Pago
2026;1;EXECUTIVO                                         ;23;SECRETARIA DE SANEAMENTO                                                                            ;23.01;SECRETARIA DE SANEAMENTO - ADMINISTRAÇÃO DIRETA                                                     ;3;DESPESAS CORRENTES                                                                                  ;1;PESSOAL E ENCARGOS SOCIAIS                                                                          ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;5730000.0;5730000.0;567392.11;567392.11;503314.32
2026;4;EXECUTIVO                                         ;61;SECRETARIA DE ADMINISTRAÇÃO - ADMINISTRAÇÃO SUPERVISIONADA                                          ;61.02;FUNDO PREVIDENCIÁRIO - RECIPREV                                                                     ;3;DESPESAS CORRENTES                                                                                  ;3;OUTRAS DESPESAS CORRENTES                                                                           ;91  ;APLICAÇÃO DIRETA DECORRENTE DE OPERAÇÃO ENTRE ÓRGÃOS, FUNDOS E ENTIDADES INTEGRANTES DOS ORÇAMENTOS FISCAL E DE SEGURIDADE SOCIAL                       ;;;930087.97;930087.97;930087.97
2026;3;EXECUTIVO                                         ;21;SECRETARIA DE DESENVOLVIMENTO ECONÔMICO                                                             ;21.01;SECRETARIA DE DESENVOLVIMENTO ECONÔMICO - ADMINISTRAÇÃO DIRETA                                      ;3;DESPESAS CORRENTES                                                                                  ;1;PESSOAL E ENCARGOS SOCIAIS                                                                          ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;0.0;0.0;183969.53;183969.53;183560.08
2026;1;EXECUTIVO                                         ;32;SECRETARIA DE CULTURA                                                                               ;32.01;SECRETARIA DE CULTURA - ADMINISTRAÇÃO DIRETA                                                        ;3;DESPESAS CORRENTES                                                                                  ;1;PESSOAL E ENCARGOS SOCIAIS                                                                          ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;22000000.0;22000000.0;1348628.52;1348628.52;1046869.03
2026;1;EXECUTIVO                                         ;27;SECRETARIA DE PLANEJAMENTO E GESTÃO                                                                 ;27.01;SECRETARIA DE PLANEJAMENTO E GESTÃO - ADMINISTRAÇÃO DIRETA                                          ;3;DESPESAS CORRENTES                                                                                  ;1;PESSOAL E ENCARGOS SOCIAIS                                                                          ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;20100000.0;20100000.0;1732770.65;1732770.65;1503555.8
2026;2;EXECUTIVO                                         ;27;SECRETARIA DE PLANEJAMENTO E GESTÃO                                                                 ;27.01;SECRETARIA DE PLANEJAMENTO E GESTÃO - ADMINISTRAÇÃO DIRETA                                          ;3;DESPESAS CORRENTES                                                                                  ;3;OUTRAS DESPESAS CORRENTES                                                                           ;50  ;TRANSFERÊNCIAS À INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS                                                                                              ;-656952.62;0.0;0.0;171523.64;171523.64
2026;2;EXECUTIVO                                         ;11;SECRETARIA DE ESPORTES                                                                              ;11.01;SECRETARIA DE ESPORTES - ADMINISTRAÇÃO DIRETA                                                       ;3;DESPESAS CORRENTES                                                                                  ;3;OUTRAS DESPESAS CORRENTES                                                                           ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;-1490000.0;0.0;136641.14;1015351.93;1017849.81
2026;2;EXECUTIVO                                         ;60;SECRETARIA DE DIREITOS HUMANOS E JUVENTUDE - ADMINISTRAÇÃO SUPERVISIONADA                           ;60.01;FUNDO MUNICIPAL DA CRIANÇA E DO ADOLESCENTE - FMCA                                                  ;3;DESPESAS CORRENTES                                                                                  ;3;OUTRAS DESPESAS CORRENTES                                                                           ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;-108000.0;0.0;;;
2026;3;EXECUTIVO                                         ;06;SECRETARIA DE CIDADANIA E CULTURA DE PAZ                                                            ;06.01;SECRETARIA DE CIDADANIA E CULTURA DE PAZ - ADMINISTRAÇÃO DIRETA                                     ;3;DESPESAS CORRENTES                                                                                  ;3;OUTRAS DESPESAS CORRENTES                                                                           ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;120000.0;0.0;2409024.04;627564.03;946818.03
2026;4;EXECUTIVO                                         ;06;SECRETARIA DE CIDADANIA E CULTURA DE PAZ                                                            ;06.01;SECRETARIA DE CIDADANIA E CULTURA DE PAZ - ADMINISTRAÇÃO DIRETA                                     ;3;DESPESAS CORRENTES                                                                                  ;3;OUTRAS DESPESAS CORRENTES                                                                           ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;0.0;0.0;-279814.27;1952250.85;2001134.52
2026;4;EXECUTIVO                                         ;12;GABINETE DO VICE-PREFEITO                                                                           ;12.01;GABINETE DO VICE-PREFEITO - ADMINISTRAÇÃO DIRETA                                                    ;3;DESPESAS CORRENTES                                                                                  ;3;OUTRAS DESPESAS CORRENTES                                                                           ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;0.0;0.0;66997.06;125982.79;126072.79
2026;3;EXECUTIVO                                         ;52;SECRETARIA DA MULHER - ADMINISTRAÇÃO SUPERVISIONADA                                                 ;52.01;FUNDO MUNICIPAL DE POLÍTICA PARA A MULHER                                                           ;3;DESPESAS CORRENTES                                                                                  ;3;OUTRAS DESPESAS CORRENTES                                                                           ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;0.0;0.0;;;
2026;1;EXECUTIVO                                         ;80;ENCARGOS GERAIS DO MUNICÍPIO                                                                        ;80.01;RECURSOS SOB A GESTÃO DA SECRETARIA DE FINANÇAS                                                     ;9;RESERVAS                                                                                            ;9;RESERVAS                                                                                            ;99  ;A DEFINIR                                                                                                                                               ;35000000.0;35000000.0;;;
2026;4;EXECUTIVO                                         ;60;SECRETARIA DE DIREITOS HUMANOS E JUVENTUDE - ADMINISTRAÇÃO SUPERVISIONADA                           ;60.03;FUNDO MUNICIPAL DOS DIREITOS DA PESSOA IDOSA - FMDPI                                                ;3;DESPESAS CORRENTES                                                                                  ;3;OUTRAS DESPESAS CORRENTES                                                                           ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;0.0;0.0;250273.76;321121.37;277040.33
2026;3;EXECUTIVO                                         ;35;SECRETARIA DE TURISMO E LAZER                                                                       ;35.01;SECRETARIA DE TURISMO E LAZER - ADMINISTRAÇÃO DIRETA                                                ;3;DESPESAS CORRENTES                                                                                  ;1;PESSOAL E ENCARGOS SOCIAIS                                                                          ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;0.0;0.0;298092.37;298092.37;295215.56
2026;4;EXECUTIVO                                         ;21;SECRETARIA DE DESENVOLVIMENTO ECONÔMICO                                                             ;21.01;SECRETARIA DE DESENVOLVIMENTO ECONÔMICO - ADMINISTRAÇÃO DIRETA                                      ;3;DESPESAS CORRENTES                                                                                  ;3;OUTRAS DESPESAS CORRENTES                                                                           ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;0.0;0.0;63656.23;80218.61;0.0
2026;1;EXECUTIVO                                         ;68;SECRETARIA DE ORDEM PÚBLICA E SEGURANÇA - ADMINISTRAÇÃO SUPERVISIONADA                              ;68.01;AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE - CTTU                                          ;3;DESPESAS CORRENTES                                                                                  ;3;OUTRAS DESPESAS CORRENTES                                                                           ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;70551086.96;71032000.0;19359761.72;106742.86;106742.86
2026;1;EXECUTIVO                                         ;26;SECRETARIA DE PROJETOS ESPECIAIS                                                                    ;26.01;SECRETARIA DE PROJETOS ESPECIAIS - ADMINISTRAÇÃO DIRETA                                             ;4;DESPESAS DE CAPITAL                                                                                 ;4;INVESTIMENTOS                                                                                       ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;163390000.0;163390000.0;1812218.47;0.0;0.0
2026;3;EXECUTIVO                                         ;48;SECRETARIA DE SAÚDE - ADMINISTRAÇÃO SUPERVISIONADA                                                  ;48.01;FUNDO MUNICIPAL DE SAÚDE - FMS                                                                      ;3;DESPESAS CORRENTES                                                                                  ;3;OUTRAS DESPESAS CORRENTES                                                                           ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;2180723.51;0.0;59962086.73;63616209.79;54844260.95
2026;3;EXECUTIVO                                         ;27;SECRETARIA DE PLANEJAMENTO E GESTÃO                                                                 ;27.01;SECRETARIA DE PLANEJAMENTO E GESTÃO - ADMINISTRAÇÃO DIRETA                                          ;4;DESPESAS DE CAPITAL                                                                                 ;4;INVESTIMENTOS                                                                                       ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;-58909.85;0.0;;;
2026;2;EXECUTIVO                                         ;34;SECRETARIA DE DESENVOLVIMENTO URBANO E LICENCIAMENTO                                                ;34.01;SECRETARIA DE DESENVOLVIMENTO URBANO E LICENCIAMENTO	 - ADMINISTRAÇÃO DIRETA                        ;4;DESPESAS DE CAPITAL                                                                                 ;4;INVESTIMENTOS                                                                                       ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;-20760487.15;0.0;;;
2026;2;EXECUTIVO                                         ;09;ASSESSORIA ESPECIAL DO PREFEITO DO RECIFE                                                           ;09.01;ASSESSORIA ESPECIAL DO PREFEITO DO RECIFE - ADMINISTRAÇÃO DIRETA                                    ;3;DESPESAS CORRENTES                                                                                  ;3;OUTRAS DESPESAS CORRENTES                                                                           ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;0.0;0.0;31375.83;75657.04;52086.64
2026;4;EXECUTIVO                                         ;16;GABINETE DE COMUNICAÇÃO                                                                             ;16.01;GABINETE DE COMUNICAÇÃO - ADMINISTRAÇÃO DIRETA                                                      ;3;DESPESAS CORRENTES                                                                                  ;1;PESSOAL E ENCARGOS SOCIAIS                                                                          ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;;;0.0;0.0;27116.1
2026;3;EXECUTIVO                                         ;43;PROCURADORIA GERAL DO MUNICÍPIO - ADMINISTRAÇÃO SUPERVISIONADA                                      ;43.01;FUNDO MUNICIPAL DE DEFESA DO CONSUMIDOR - FUNDEC                                                    ;3;DESPESAS CORRENTES                                                                                  ;3;OUTRAS DESPESAS CORRENTES                                                                           ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;344939.76;0.0;900.0;33460.0;33460.0
