"Ano";"Mês";"Código da Função";"Função";"Código de Sub-função";"Sub-função";"Código de Programa";"Programa";"Código da Ação";"Ação";"Código da Fonte";"Fonte";"Dotação Inicial";"Dotação Atualizada";"Empenhado";"Liquidado";"Pago"
"2025";"1";"15  ";"URBANISMO                                              ";"452 ";"SERVIÇOS URBANOS                                                                                                        ";"1323";"MANUTENÇÃO URBANA                                                                                                       ";"2541";"MANUTENÇÃO DO SISTEMA VIÁRIO                                                                                                                                                                            ";"0701";"OUTRAS TRANSF. CONV. OU INSTRUM. CONGÊNERES - ESTADOS  ";"200000.0";"200000.0";"0.0";"0.0";"0.0"
"2025";"1";"10  ";"SAÚDE                                                  ";"301 ";"ATENÇÃO BÁSICA                                                                                                          ";"1216";"FORTALECIMENTO E QUALIFICAÇÃO DA ATENÇÃO BÁSICA EM SAÚDE                                                                ";"1032";"CONSTRUÇÃO, AMPLIAÇÃO E EQUIPAGEM DE UNIDADES DE SAÚDE NA ATENÇÃO BÁSICA                                                                                                                                ";"0749";"OUTRAS VINCULAÇÕES DE TRANSFERÊNCIAS                   ";"10000.0";"10000.0";"0.0";"0.0";"0.0"
"2025";"1";"15  ";"URBANISMO                                              ";"451 ";"INFRA-ESTRUTURA URBANA                                                                                                  ";"2160";"GESTÃO DAS POLÍTICAS MUNICIPAIS                                                                                         ";"2191";"COORDENAÇÃO, SUPERVISÃO E EXECUÇÃO DAS POLÍTICAS DE INFRAESTRUTURA                                                                                                                                      ";"0500";"RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ";"20685000.0";"19004198.0";"233200.39";"233200.39";"215509.91"
"2025";"1";"12  ";"EDUCAÇÃO                                               ";"365 ";"EDUCAÇÃO INFANTIL                                                                                                       ";"1247";"PROMOÇÃO E FORTALECIMENTO DA POLÍTICA DA PRIMEIRA INFÂNCIA                                                              ";"2179";"AMPLIAÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO INFANTIL                                                                                                                                                        ";"0541";"TRANSFERÊNCIAS DO FUNDEB - COMPLEMENTAÇÃO DA UNIÃO - VA";"18680000.0";"15000000.0";"0.0";"0.0";"0.0"
"2025";"1";"15  ";"URBANISMO                                              ";"453 ";"TRANSPORTES COLETIVOS URBANOS                                                                                           ";"1304";"MOBILIDADE URBANA E ACESSIBILIDADE                                                                                      ";"2510";"GERENCIAMENTO DO TRÂNSITO E DO TRANSPORTE PÚBLICO                                                                                                                                                       ";"0500";"RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ";"5425000.0";"5425000.0";"760767.77";"284126.65";"0.0"
"2025";"1";"04  ";"ADMINISTRAÇÃO                                          ";"846 ";"OUTROS ENCARGOS ESPECIAIS                                                                                               ";"3101";"GESTÃO DOS ENCARGOS GERAIS DO MUNICÍPIO                                                                                 ";"2144";"ENCARGOS DE PESSOAL DA PREFEITURA À DISPOSIÇÃO DE OUTROS ÓRGÃOS                                                                                                                                         ";"0500";"RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ";"10000.0";"10000.0";"0.0";"0.0";"0.0"
"2025";"1";"13  ";"CULTURA                                                ";"392 ";"DIFUSÃO CULTURAL                                                                                                        ";"1211";"VALORIZAÇÃO DA CULTURA                                                                                                  ";"2304";"PROMOÇÕES DE AÇÕES CULTURAIS                                                                                                                                                                            ";"0700";"OUTRAS TRANSF. CONV. OU INSTRUM. CONGÊNERES - UNIÃO    ";"600000.0";"600000.0";"0.0";"0.0";"0.0"
"2025";"1";"15  ";"URBANISMO                                              ";"243 ";"ASSISTÊNCIA À CRIANÇA E AO ADOLESCENTE                                                                                  ";"1247";"PROMOÇÃO E FORTALECIMENTO DA POLÍTICA DA PRIMEIRA INFÂNCIA                                                              ";"2113";"APOIO À PRIMEIRA INFÂNCIA                                                                                                                                                                               ";"0500";"RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ";"110000.0";"110000.0";"0.0";"0.0";"0.0"
"2025";"1";"12  ";"EDUCAÇÃO                                               ";"361 ";"ENSINO FUNDAMENTAL                                                                                                      ";"1207";"SUPORTE E APOIO EFETIVOS PARA UMA EDUCAÇÃO DE QUALIDADE E ACESSÍVEL                                                     ";"1043";"EXPANSÃO DA REDE FÍSICA DO ENSINO FUNDAMENTAL                                                                                                                                                           ";"0749";"OUTRAS VINCULAÇÕES DE TRANSFERÊNCIAS                   ";"10000.0";"10000.0";"0.0";"0.0";"0.0"
"2025";"1";"15  ";"URBANISMO                                              ";"451 ";"INFRA-ESTRUTURA URBANA                                                                                                  ";"1310";"REQUALIFICAÇÃO, AMPLIAÇÃO E REORDENAMENTO DOS ESPAÇOS PÚBLICOS                                                          ";"1603";"CONSTRUÇÃO E REQUALIFICAÇÃO DE ESPAÇOS DE INTERESSE PÚBLICO                                                                                                                                             ";"0700";"OUTRAS TRANSF. CONV. OU INSTRUM. CONGÊNERES - UNIÃO    ";"2150000.0";"6329124.45";"0.0";"0.0";"0.0"
"2025";"1";"28  ";"ENCARGOS ESPECIAIS                                     ";"843 ";"SERVIÇO DA DÍVIDA INTERNA                                                                                               ";"3101";"GESTÃO DOS ENCARGOS GERAIS DO MUNICÍPIO                                                                                 ";"9001";"ENCARGOS DA DÍVIDA PÚBLICA INTERNA                                                                                                                                                                      ";"0500";"RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ";"417810000.0";"397410000.0";"19368506.13";"18473942.92";"9537672.17"
