"Ano";"Mês";"Poder";"Código órgão";"Órgão setorial";"Código da unidade";"Unidade gestora";"Código da despesa";"Categoria da despesa";"Código do grupo de despesa";"Grupo de despesa";"Código da modalidade";"Modalidade";"Dotação atualizada";"Dotação inicial";"Empenhado";"Liquidado";"Pago"
"2025";"8";"EXECUTIVO                                         ";"16";"GABINETE DE COMUNICAÇÃO                                                                             ";"16.01";"GABINETE DE COMUNICAÇÃO - ADMINISTRAÇÃO DIRETA                                                      ";"3";"DESPESAS CORRENTES                                                                                  ";"1";"PESSOAL E ENCARGOS SOCIAIS                                                                          ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"0.0";"0.0";"305580.96";"305580.96";"299225.18"
"2025";"8";"EXECUTIVO                                         ";"16";"GABINETE DE COMUNICAÇÃO                                                                             ";"16.01";"GABINETE DE COMUNICAÇÃO - ADMINISTRAÇÃO DIRETA                                                      ";"3";"DESPESAS CORRENTES                                                                                  ";"3";"OUTRAS DESPESAS CORRENTES                                                                           ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"0.0";"0.0";"0.0";"39709.6";"38989.9"
"2025";"12";"EXECUTIVO                                         ";"48";"SECRETARIA DE SAÚDE - ADMINISTRAÇÃO SUPERVISIONADA                                                  ";"48.01";"FUNDO MUNICIPAL DE SAÚDE - FMS                                                                      ";"4";"DESPESAS DE CAPITAL                                                                                 ";"4";"INVESTIMENTOS                                                                                       ";"50  ";"TRANSFERÊNCIAS À INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS                                                                                              ";"0.0";"0.0";"";"";""
"2025";"7";"EXECUTIVO                                         ";"03";"GAB. DE GERENC. DO PROG. DE REQUALIF. E RESILÊNCIA URB. EM ÁREAS DE VULNERABILIDADE SOCIOAMB.-PROMOR";"03.01";"GAB. DE GER. DO PROG. REQUALIF. E RESILIÊNCIA URB. EM ÁREAS DE VULNER. SOCIOAMB.-PROMORAR RECIFE - A";"4";"DESPESAS DE CAPITAL                                                                                 ";"4";"INVESTIMENTOS                                                                                       ";"50  ";"TRANSFERÊNCIAS À INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS                                                                                              ";"";"";"500.0";"500.0";"500.0"
"2025";"3";"EXECUTIVO                                         ";"29";"SECRETARIA DE ASSISTÊNCIA SOCIAL E COMBATE À FOME                                                   ";"29.01";"SECRETARIA DE ASSISTÊNCIA SOCIAL E COMBATE À FOME - ADMINISTRAÇÃO DIRETA                            ";"3";"DESPESAS CORRENTES                                                                                  ";"3";"OUTRAS DESPESAS CORRENTES                                                                           ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"0.0";"0.0";"236974.21";"112524.7";"146303.18"
"2025";"3";"EXECUTIVO                                         ";"29";"SECRETARIA DE ASSISTÊNCIA SOCIAL E COMBATE À FOME                                                   ";"29.01";"SECRETARIA DE ASSISTÊNCIA SOCIAL E COMBATE À FOME - ADMINISTRAÇÃO DIRETA                            ";"3";"DESPESAS CORRENTES                                                                                  ";"1";"PESSOAL E ENCARGOS SOCIAIS                                                                          ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"0.0";"0.0";"3379690.23";"3379690.23";"3317573.07"
"2025";"3";"EXECUTIVO                                         ";"38";"SECRETARIA DE ORDEM PÚBLICA E SEGURANÇA                                                             ";"38.01";"SECRETARIA DE ORDEM PÚBLICA E SEGURANÇA - ADMINISTRAÇÃO DIRETA                                      ";"3";"DESPESAS CORRENTES                                                                                  ";"1";"PESSOAL E ENCARGOS SOCIAIS                                                                          ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"0.0";"0.0";"8628155.87";"8628155.87";"8562799.88"
"2025";"12";"EXECUTIVO                                         ";"27";"SECRETARIA DE PLANEJAMENTO E GESTÃO                                                                 ";"27.01";"SECRETARIA DE PLANEJAMENTO E GESTÃO - ADMINISTRAÇÃO DIRETA                                          ";"3";"DESPESAS CORRENTES                                                                                  ";"3";"OUTRAS DESPESAS CORRENTES                                                                           ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"-990893.09";"0.0";"-967714.03";"1780475.46";"1780475.46"
"2025";"3";"EXECUTIVO                                         ";"38";"SECRETARIA DE ORDEM PÚBLICA E SEGURANÇA                                                             ";"38.01";"SECRETARIA DE ORDEM PÚBLICA E SEGURANÇA - ADMINISTRAÇÃO DIRETA                                      ";"3";"DESPESAS CORRENTES                                                                                  ";"3";"OUTRAS DESPESAS CORRENTES                                                                           ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"-1015142.5";"0.0";"12095270.29";"12204923.8";"7283463.63"
"2025";"12";"EXECUTIVO                                         ";"37";"SECRETARIA DE HABITAÇÃO                                                                             ";"37.01";"SECRETARIA DE HABITAÇÃO - ADMINISTRAÇÃO DIRETA                                                      ";"4";"DESPESAS DE CAPITAL                                                                                 ";"4";"INVESTIMENTOS                                                                                       ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"-2587614.0";"0.0";"-224132.76";"0.0";"0.0"
"2025";"12";"EXECUTIVO                                         ";"27";"SECRETARIA DE PLANEJAMENTO E GESTÃO                                                                 ";"27.01";"SECRETARIA DE PLANEJAMENTO E GESTÃO - ADMINISTRAÇÃO DIRETA                                          ";"3";"DESPESAS CORRENTES                                                                                  ";"1";"PESSOAL E ENCARGOS SOCIAIS                                                                          ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"";"";"0.0";"0.0";"233005.72"
"2025";"11";"EXECUTIVO                                         ";"20";"SECRETARIA DE INFRAESTRUTURA                                                                        ";"20.01";"SECRETARIA DE INFRAESTRUTURA - ADMINISTRAÇÃO DIRETA                                                 ";"4";"DESPESAS DE CAPITAL                                                                                 ";"4";"INVESTIMENTOS                                                                                       ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"13455717.27";"0.0";"151529.4";"151529.4";"151529.4"
"2025";"1";"EXECUTIVO                                         ";"14";"SECRETARIA DE EDUCAÇÃO                                                                              ";"14.01";"SECRETARIA DE EDUCAÇÃO - ADMINISTRAÇÃO DIRETA                                                       ";"3";"DESPESAS CORRENTES                                                                                  ";"3";"OUTRAS DESPESAS CORRENTES                                                                           ";"50  ";"TRANSFERÊNCIAS À INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS                                                                                              ";"56580000.0";"48580000.0";"21214939.12";"5589858.4";"5589858.4"
